Type_of_paper;Definition;Tokens;Cluster_of_token
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;pattern;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;completion;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;process;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;drive;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;reinstatement;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;event;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;information;
Human_Study;...pattern completion process that drives the reinstatement of event information in the neocortex.;neocortex;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";function;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";reproducing;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";neural;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";pattern;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";complete;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";information;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";incomplete;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";information;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";recalling;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";memory;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";after;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";memory;
Human_Study;"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion.";learning;
