Token,Definition
pattern,...pattern completion process that drives the reinstatement of event information in the neocortex.
completion,...pattern completion process that drives the reinstatement of event information in the neocortex.
process,...pattern completion process that drives the reinstatement of event information in the neocortex.
drive,...pattern completion process that drives the reinstatement of event information in the neocortex.
reinstatement,...pattern completion process that drives the reinstatement of event information in the neocortex.
event,...pattern completion process that drives the reinstatement of event information in the neocortex.
information,...pattern completion process that drives the reinstatement of event information in the neocortex.
neocortex,...pattern completion process that drives the reinstatement of event information in the neocortex.
function,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
reproducing,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
neural,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
pattern,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
complete,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
information,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
incomplete,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
information,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
recalling,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
memory,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
after,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
memory,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
learning,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
termed,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
pattern,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
completion,"...the function of reproducing neural patterns with 
complete information from incomplete information and recalling the 
memory after memory learning is termed the pattern completion."
feature,"...features of similar events cue retrievals, a process called pattern completion.|"
similar,"...features of similar events cue retrievals, a process called pattern completion.|"
event,"...features of similar events cue retrievals, a process called pattern completion.|"
cue,"...features of similar events cue retrievals, a process called pattern completion.|"
retrieval,"...features of similar events cue retrievals, a process called pattern completion.|"
process,"...features of similar events cue retrievals, a process called pattern completion.|"
called,"...features of similar events cue retrievals, a process called pattern completion.|"
pattern,"...features of similar events cue retrievals, a process called pattern completion.|"
completion,"...features of similar events cue retrievals, a process called pattern completion.|"
presentation,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
partial,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
cue,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
will,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
result,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
pattern,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
completion,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
complete,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
retrieval,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
stored,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
representation,"...presentation of a partial cue will result in pattern completion
and the complete retrieval of the stored representation."
retrieval,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
previously,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
stored,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
memory,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
representation,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
within,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
ca3,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
reactivated,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
through,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
process,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
pattern,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
completion,"At retrieval, a previously stored memory representation within CA3 can be reactivated through the process of pattern completion."
pattern,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
completion,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
–,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
response,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
similar,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
item,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
repeatedoverlapping,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
input,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
used,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
retrieval,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
cue,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
drive,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
reinstatement,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
existing,"...pattern completion – responses to similar items as if repeated..|overlapping input is used
at retrieval as a cue to drive reinstatement of existing traces via pattern completion, increasing overlap between incoming and existing representations"
